GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1469045727	2022-06-28 15:41:20.860653	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1	H 	C2	H 		United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Sourdough Canyon Trail	L2690630	H	45.5901048	-111.0253179	2022-06-28	11:54:00	obsr3242466	S113982700	Stationary	P21	EBIRD	72			1	1		0	1	0			Swimming and flying	
URN:CornellLabOfOrnithology:EBIRD:OBS1469195749	2022-06-28 20:22:41.682133	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Sourdough Canyon Trail	L2690630	H	45.5901048	-111.0253179	2022-06-28	11:54:00	obsr600534	S113999377	Incidental	P20	EBIRD				1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1453107477	2022-06-06 14:03:58.680687	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Spanish Creek Rd.--Lower 5 miles	L2888305	H	45.4989897	-111.3219202	2022-06-05	07:43:00	obsr2573510	S112243860	Traveling	P22	EBIRD	397	33.571		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1466616433	2023-03-23 17:24:42.221954	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1				Unknown Sex, Juvenile (1)	United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Langohr Campground	L1235908	H	45.5344463	-111.0164273	2022-06-22	16:19:00	obsr814577	S113727170	Traveling	P22	EBIRD	30	0.322		15	1	G8589106	1	1	0			Prolonged views of this iconic bird	
URN:CornellLabOfOrnithology:EBIRD:OBS1465224299	2023-03-23 17:24:42.221954	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1				Unknown Sex, Juvenile (1)	United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Langohr Campground	L1235908	H	45.5344463	-111.0164273	2022-06-22	16:19:00	obsr355820	S113583491	Traveling	P22	EBIRD	30	0.322		15	1	G8589106	1	1	0			Prolonged views of this iconic bird	
URN:CornellLabOfOrnithology:EBIRD:OBS1461735300	2022-06-18 09:35:52.649004	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Story Mill Community Park	L4686166	H	45.6976446	-111.0224290	2022-06-01	06:45:00	obsr3915	S113178623	Traveling	P22	EBIRD	91	2.749		1	1	G8565454	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1465223572	2023-03-23 17:24:42.221954	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1				Unknown Sex, Juvenile (1)	United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Langohr Campground	L1235908	H	45.5344463	-111.0164273	2022-06-22	16:19:00	obsr603444	S113583529	Traveling	P22	EBIRD	30	0.322		15	1	G8589106	1	1	0			Prolonged views of this iconic bird	
URN:CornellLabOfOrnithology:EBIRD:OBS1469030084	2022-06-28 15:35:11.698271	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				X					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Sourdough Canyon Trail	L2690630	H	45.5901048	-111.0253179	2022-06-28	11:56:00	obsr3229689	S113982241	Traveling	P22	EBIRD	98	2.800		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1449148059	2022-06-01 23:38:18.160125	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Story Mill Community Park	L4686166	H	45.6976446	-111.0224290	2022-06-01	08:30:00	obsr268037	S111925755	Traveling	P22	EBIRD	32	1.127		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1462230938	2022-06-18 20:44:08.735888	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Lava Lake trail	L772170	H	45.4061939	-111.2246042	2022-06-16	17:56:00	obsr452860	S113232545	Traveling	P22	EBIRD	176	8.542		2	1	G8571827	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1464876026	2022-06-22 13:57:18.201699	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Story Mill Community Park	L4686166	H	45.6976446	-111.0224290	2022-06-22	10:46:00	obsr91149	S113546975	Traveling	P22	EBIRD	9	0.341		2	1	G8587124	0	1	0			Under bridge in the same area where it has nested in the past. Photos.	
